,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
6053,CCOC(=O)OCC,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],O=C1OCCO1,nan,"[0.39998, 0.3, 0.2667]","[118.0629942, 110000.0, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.08908269,-1461.031558,2.20128361,0.986641504
6063,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.4, 0.34284, 0.2286]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.075982449,-2471.697102,4.568434478,0.830627559
6074,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.5, 0.2857, 0.1905]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.063009962,-2924.670971,5.954609072,0.920689153
6086,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.6, 0.22856, 0.1524]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.05016337,-2855.968274,5.091926515,0.97554013
6097,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.7, 0.17142, 0.1143]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.03744085,-3647.982837,6.765399047,0.976689122
6108,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.8, 0.11428, 0.0762]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.024840613,-4054.592607,6.802557097,0.990254074
6116,CCOC(=O)OCC,O=C1OCCO1,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],nan,"[0.43632, 0.29088, 0.2]","[118.0629942, 88.01604399, 110000.0]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.202705514,-2435.831917,5.149201012,0.967206454
6130,CCOC(=O)OCC,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],O=C1OCCO1,nan,"[0.38178, 0.3, 0.25452]","[118.0629942, 110000.0, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.175645293,-2530.879629,5.588228719,0.965315932
6141,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.4, 0.32724, 0.21816]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.149105467,-2849.486041,5.917346165,0.957803071
6152,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.5, 0.2727, 0.1818]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.123071167,-2530.348266,4.427244095,0.976386775
6163,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.6, 0.21816, 0.14544]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.097528085,-2864.47391,4.917328595,0.9746207
6174,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.7, 0.16362, 0.10908]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.072462449,-3325.185411,5.74560141,0.981426108
6185,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],CCOC(=O)OCC,O=C1OCCO1,nan,"[0.8, 0.10908, 0.07272]","[110000.0, 118.0629942, 88.01604399]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.047860995,-4518.973184,8.513101806,0.981772771
6193,C[N+](CC)(C)CC.O=S([N-]S(=O)(F)=O)(F)=O,[Cu]CC1C[N+](C)(C)CC1C[Au].O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,nan,nan,"[0.4, 0.4]","[282.0519554, 868929.3118]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.871282634,-1910.981496,2.4650061,0.997632154
6199,C[N+](CC)(C)CC.O=S([N-]S(=O)(F)=O)(F)=O,[Cu]CC1C[N+](C)(C)CC1C[Au].O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,nan,nan,"[0.48, 0.32]","[282.0519554, 868929.3118]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.871282634,-1404.828874,1.084833734,0.961145466
6206,[Cu]CCCCCC(=O)O[Au],nan,nan,nan,[0.91],[50000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.34468324,-4198.86353,7.907478999,0.93182668
6213,[Cu]CCCCCC(=O)O[Au],nan,nan,nan,[0.83],[50000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.713821917,-3760.363546,6.90592232,0.912122896
6220,[Cu]CCCCCC(=O)O[Au],nan,nan,nan,[0.77],[50000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.041013017,-4517.290086,9.439332958,0.896227895
6227,[Cu]CCCCCC(=O)O[Au],nan,nan,nan,[0.7],[50000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.493627372,-3510.854953,6.338924537,0.928435069
6234,[Cu]CCCCO[Au],nan,nan,nan,[0.92614031],[1800.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],0.752610435,-1353.741779,-1.168223708,0.84707542
6257,[Cu]OCC[Au],nan,nan,nan,[0.884675538],[100000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.454029512,-1488.223643,1.073338435,0.995498603
6264,[Cu]OCC[Au],nan,nan,nan,[0.657275654],[100000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.816118048,-1966.287059,2.591926949,0.961297206
6281,[Cu]OCC[Au],nan,nan,nan,[0.768708928],[100000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],2.837684449,-4394.456453,8.638515029,0.944788096
6295,[Cu]OCC[Au],nan,nan,nan,[0.918633722],[350.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.56753689,-1015.258704,0.011794633,1
6296,[Cu]OCC[Au],nan,nan,nan,[0.918633722],[300.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.56753689,-1364.923692,0.973284145,1
6299,[Cu]OCC[Au],nan,nan,nan,[0.894376365],[300.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.756715846,-1370.814053,1.097006734,1
6300,[Cu]OCC[Au],nan,nan,nan,[0.894376365],[350.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.756715846,-1092.979584,0.295896149,1
6301,[Cu]OCC[Au],nan,nan,nan,[0.894376365],[250.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.756715846,-650.0631559,-1.044185791,1
6305,[Cu]OCC[Au],nan,nan,nan,[0.875873769],[250.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.908059024,-653.5962458,-0.948892693,1
6307,[Cu]OCC[Au],nan,nan,nan,[0.849512086],[350.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.13507378,-1167.719195,0.573248109,1
6308,[Cu]OCC[Au],nan,nan,nan,[0.849512086],[300.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.13507378,-1452.460496,1.408677575,1
6309,[Cu]OCC[Au],nan,nan,nan,[0.849512086],[250.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.13507378,-719.8115908,-0.705338617,1
6313,[Cu]OCC[Au],nan,nan,nan,[0.80893383],[250.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.513431714,-798.6172688,-0.413559542,1
6314,[Cu]OCC[Au],nan,nan,nan,[0.80893383],[350.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.513431714,-1199.300419,0.629832796,1
6317,[Cu]OCC[Au],nan,nan,nan,[0.738392881],[300.0],O=S(=O)([O-])C(F)(F)F.[Li+],2.27014756,-1779.488823,2.288680019,1
6318,[Cu]OCC[Au],nan,nan,nan,[0.738392881],[350.0],O=S(=O)([O-])C(F)(F)F.[Li+],2.27014756,-1571.29193,1.65938305,1
6321,[Cu]OCC[Au],nan,nan,nan,[0.675031652],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],4.540295119,-2795.765274,3.586111916,0.940731608
6333,[Cu]OCC[Au],nan,nan,nan,[0.892575819],[100000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],1.13507378,-4753.257336,7.290267911,0.962738717
6336,[Cu]OCC[Au],nan,nan,nan,[0.835541103],[4000000.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.261193099,-3274.863815,5.418154848,1
6338,[Cu]OCC[Au],nan,nan,nan,[0.717535936],[4000000.0],O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-3930.317988,7.498928453,0.77458803
6340,[Cu]OCC[Au],nan,nan,nan,[0.693065185],[900000.0],O=S(=O)([O-])C(F)(F)F.[Li+],2.837684449,-4267.143503,8.273427156,0.876974094
6342,[Cu]OCC[Au],nan,nan,nan,[0.768708928],[5000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],2.837684449,-3792.828179,6.977218986,0.98249856
6364,[Cu]OCC[Au],nan,nan,nan,[0.930041681],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],0.709421112,-5055.657275,9.709605248,0.932192002
6365,[Cu]OCC[Au],nan,nan,nan,[0.892575819],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],1.13507378,-5140.573896,10.09210888,0.94146196
6366,[Cu]OCC[Au],nan,nan,nan,[0.768708928],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],2.837684449,-4244.703981,8.277580549,0.986366427
6368,[Cu]OCC[Au],nan,nan,nan,[0.624311299],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],5.675368899,-4511.774372,7.171153704,0.994406088
6370,[Cu]OCC[Au],nan,nan,nan,[0.738392881],[5000000.0],O=S(=O)([O-])C(F)(F)F.[Li+],2.27014756,-3432.093165,5.39423069,0.900105976
6372,[Cu]OCC[Au],nan,nan,nan,[0.889677813],[400.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.794551646,-1874.039332,3.013935486,1
6387,C(COCCOCCOCCOCCOCCOCCOCCO)O,nan,nan,nan,[0.64893543],[398.49],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.884222474,-1539.521567,2.17218081,1
6391,C(COCCOCCOCCO)O,nan,nan,nan,[0.64893543],[194.23],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.884222474,-2264.049899,4.089204909,1
6393,COCCOCCOCCOCCOC,nan,nan,nan,[0.64893543],[222.28],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.884222474,-1521.443885,2.3308345,1
6395,COCCOCCOCCOCCO,nan,nan,nan,[0.64893543],[208.25],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.884222474,-1717.913947,2.745086684,1
6399,CC(=O)OCC(COCC(COC(C)=O)(COC(C)=O)COC(C)=O)(COC(C)=O)COC(C)=O,nan,nan,nan,[0.418024691],[506.5],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.849361495,-5427.304435,11.43626438,1
6402,ClCCOCCOCCOCCCl,nan,nan,nan,[0.418024691],[231.12],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.849361495,-5860.784714,12.65455464,1
6404,OCCOCCOCCOCCOCCOCCOCCOCCO,nan,nan,nan,[0.234799769],[370.44],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],11.3507378,-5032.432785,10.5416201,1
6406,C(COCCOCCOCCO)O,nan,nan,nan,[0.234799769],[194.23],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],11.3507378,-4231.623908,8.562151988,1
6408,COCCOCCOCCOCCOC,nan,nan,nan,[0.234799769],[222.28],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],11.3507378,-3032.190939,5.900800519,1
6410,COCCOCCOCCOCCO,nan,nan,nan,[0.234799769],[208.25],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],11.3507378,-3328.992197,6.477248401,1
6412,COCCOCCOCCOCC1COB(B2OCC(O2)COCCOCCOCCOC)O1,nan,nan,nan,[0.954031838],[570.25],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.167924212,-2743.122127,4.879584077,0.951260888
6414,COCCOCCOCCOCC1COB(C2=CC=C(B3OCC(O3)COCCOCCOCCOC)C=C2)O1,nan,nan,nan,[0.959914546],[494.15],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.145536955,-3872.572515,7.557614648,0.986311848
6416,COCCOCCOCCOCC1COB(B2OCC(O2)COCCOCCOCCOC)O1,nan,nan,nan,[0.985774819],[570.25],[Br-].[Li+],0.167924215,-2534.048411,3.524545882,1
6418,COCCOCCOCCOCC1COB(C2=CC=C(B3OCC(O3)COCCOCCOCCOC)C=C2)O1,nan,nan,nan,[0.987647861],[494.15],[Br-].[Li+],0.145536956,-3273.67182,5.132237431,1
6427,COCCOCCOCCOCC1=CC=CC(COCCOCCOCCOC)=C1,nan,nan,nan,[0.947551364],[430.54],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.19290811,-2497.754621,4.386110221,1
6429,COCCOCCOCCOCC1=C(COCCOCCOCCOC)C=CC=C1,nan,nan,nan,[0.947551364],[430.54],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.19290811,-2124.702615,3.542008515,1
6431,COCCOCCOCCOCC1=C(COCCOCCOCCOC)C=CC=C1,nan,nan,nan,[0.749937566],[430.54],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.162097039,-4662.878252,9.425411501,1
6433,COCCOCCOCCOCC1=CC=C(COCCOCCOCCOC)C=C1,nan,nan,nan,[0.947551364],[430.54],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.19290811,-2116.141352,3.376326472,1
6435,O=C(OCCOCCOCCOC)OCCOCCOCCOC,nan,nan,nan,[0.936996869],[354.4],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.234338174,-2366.681217,4.197959084,1
6437,S=C(NCCOCCOCCOC)NCCOCCOCCOC,nan,nan,nan,[0.939248369],[368.49],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.225422126,-3554.719483,6.935424792,1
6441,COCCOCCOCCOCC1=CN(CCOCCOCCOCCOC)N=N1,nan,nan,nan,[0.752098631],[435.52],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.148743789,-4654.656689,9.591343406,1
6443,O=C(NCCOCCOCCOC)NCCOCCOCCOC,nan,nan,nan,[0.936667134],[352.43],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.235647539,-2053.228719,3.076894566,1
6447,NCCNCCNCCNCCNCCN,nan,nan,nan,[0.418024691],[232.37],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.852009855,-4256.68872,8.690303688,1
6449,NCCNCCNCCNCCN,nan,nan,nan,[0.418024691],[189.3],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.852009855,-3757.940248,7.777379619,1
6451,NCCN(CCN)CCN,nan,nan,nan,[0.418024691],[146.23],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.852009855,-4808.343472,10.37030108,1
6459,COCCOCCOCCOCCN(N=N1)C=C1COCCOCCOCCOCCN(N=N2)C=C2COCCOCCOCCOC,nan,nan,nan,[0.974753484],[692.81],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.090266314,-3397.810557,7.1744637,1
6460,COCCOCCOCCOCCN(N=N1)C=C1COCCOCCOCCOCCN(N=N2)C=C2COCCOCCOCCOC,nan,nan,nan,[0.966747982],[692.81],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.119873665,-3288.42156,6.564714075,1
6461,COCCOCCOCCOCCN(N=N1)C=C1COCCOCCOCCOCCN(N=N2)C=C2COCCOCCOCCOC,nan,nan,nan,[0.944107924],[692.81],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.206323002,-3438.636238,6.930603597,1
6462,COCCOCCOCCOCCN(N=N1)C=C1COCCOCCOCCOCCN(N=N2)C=C2COCCOCCOCCOC,nan,nan,nan,[0.828360898],[692.81],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.722130507,-8000.572816,20.20326857,1
6463,COCCOCCOCCOCCN(N=N1)C=C1COCCOCCOCCOCCN(N=N2)C=C2COCCOCCOCCOC,nan,nan,nan,[0.960208335],[692.81],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.144426102,-2969.754765,5.488759089,1
6469,C1COC(=O)O1,[Cu]OCC[Au],O=C1OC(C)CO1,nan,"[0.375, 0.358767968, 0.125]","[88.01604399, 4000000.0, 102.0316941]",O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-2154.044615,3.379159746,0.955517269
6472,[Cu]OCC[Au],O=C1OC(C)CO1,C1COC(=O)O1,nan,"[0.358767968, 0.25, 0.25]","[4000000.0, 102.0316941, 88.01604399]",O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-2098.976612,3.12515909,0.965969783
6475,[Cu]OCC[Au],C1COC(=O)O1,nan,nan,"[0.358767968, 0.5]","[4000000.0, 88.01604399]",O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-2566.357764,4.236310335,0.963214512
6477,O=C1OC(C)CO1,[Cu]OCC[Au],C1COC(=O)O1,nan,"[0.375, 0.358767968, 0.125]","[102.0316941, 4000000.0, 88.01604399]",O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-2131.785299,3.066937739,0.957533687
6484,[Cu]OCC[Au],O=C1OC(C)CO1,nan,nan,"[0.358767968, 0.5]","[4000000.0, 102.0316941]",O=S(=O)([O-])C(F)(F)F.[Li+],2.522386175,-3185.794073,5.831668855,0.934381295
6546,[Cu]OCC[Au],nan,nan,nan,[0.921295313],[500.0],F[B-](F)(F)F.[Li+],0.908059024,-1387.926095,1.138350437,0.987399833
6552,[Cu]OCC[Au],nan,nan,nan,[0.912173722],[500.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],0.908059024,-1155.257401,0.544793421,0.736341698
6620,[Cu]OCC[Au],nan,nan,nan,[0.952248288],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],0.472939841,-4688.575361,8.363831425,0.951290645
6629,[Cu]OCC[Au],nan,nan,nan,[0.773070322],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],2.76846765,-4190.232212,7.450643807,0.967773492
6632,[Cu]OCC[Au],nan,nan,nan,[0.713685463],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],3.783586833,-4120.855174,6.294703394,0.981297341
6638,[Cu]OCC[Au],nan,nan,nan,[0.554830405],[4000000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],7.567150965,-6568.950732,12.26945606,0.954035913
6641,[Cu]OCC[Au],nan,nan,nan,[0.824014596],[5000000.0],F[B-](F)(F)F.[Li+],2.27014756,-4038.859457,6.945973393,0.845532248
6705,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.8],[257000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.870807064,-1864.670886,1.614086519,0.998871189
6708,[Cu]OC(=O)CCCCC[Au],nan,nan,nan,[0.72],[338000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.354588766,-2859.812563,4.478094451,0.974438672
6717,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.72],[257000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.354588766,-2136.508234,2.810902397,0.988512533
6718,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.72],[256000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.354588766,-2416.693491,3.460741908,0.994041567
6724,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.72],[246000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.354588766,-2612.790264,3.605204081,0.989827412
6744,[Cu]OC(=O)CCCCC[Au],nan,nan,nan,[0.64],[338000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.959315894,-2998.132219,4.164405816,0.996302553
6753,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.64],[257000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.959315894,-2170.409022,2.967148437,0.99181949
6757,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.64],[246000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.959315894,-2859.549158,4.441286382,0.991575407
6758,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.64],[256000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.959315894,-2388.225495,3.191651377,0.987913085
6780,[Cu]OC(=O)CCCCCOC(=O)OCCC[Au],nan,nan,nan,[0.56],[257000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.736822201,-2408.881089,3.22296138,0.999933275
6783,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[190.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1598.658223,2.206701746,0.994558057
6785,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[640.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1931.147245,2.765329648,0.99789678
6786,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[1000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1881.477905,2.582781238,0.995396058
6787,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[2000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1981.198403,2.763676375,0.997771949
6789,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[10000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-2071.775397,2.944306511,0.997863582
6790,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[20000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1920.152755,2.530043961,0.99756195
6791,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[4000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-2032.910987,2.832456892,0.997654199
6792,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[5000000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1826.608569,2.249457478,0.997098327
6793,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[50000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-2023.009237,2.769443947,0.997479923
6795,[Cu]OCC[Au],nan,nan,nan,[0.643491883],[360000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.929625426,-1973.998682,2.610089929,0.998230103
6850,[Cu]OCC[Au],nan,nan,nan,[0.884675538],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.454029512,-5038.234096,10.73397345,0.903676883
6851,[Cu]OCC[Au],nan,nan,nan,[0.793200157],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.908059024,-4784.192249,10.29296217,0.884899159
6853,[Cu]OCC[Au],nan,nan,nan,[0.657275654],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.816118048,-2194.508187,3.255867717,0.98160561
6854,[Cu]OCC[Au],nan,nan,nan,[0.605403983],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.27014756,-2315.884836,3.576941168,0.953020466
6855,[Cu]OCC[Au],nan,nan,nan,[0.561120778],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],2.724177072,-2252.287665,3.373205537,0.929679705
6856,[Cu]OCC[Au],nan,nan,nan,[0.522874332],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],3.178206583,-2544.302684,4.128507872,0.952067037
6857,[Cu]OCC[Au],nan,nan,nan,[0.489509002],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],3.632236095,-2625.98343,4.376168831,0.970277375
6863,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,nan,nan,nan,[0.976607002],[5000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.083480511,-1976.590282,2.121268211,0.991360807
