,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
4436,CC1COC(=O)O1,nan,nan,nan,[0.822126509],[102.0316941],[Li+].[O-][Cl+3]([O-])([O-])[O-],2.041794921,-1216.502901,1.573370464,0.932539571
4473,CC1COC(=O)O1,nan,nan,nan,[0.75846366],[102.0316941],O=S(=O)([O-])C(F)(F)F.[Li+],2.041794923,-1227.198826,1.215041548,0.956015409
4508,COCCOCCOCCOC,nan,nan,nan,[0.383010538],[178.1205091],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],5.614176637,-1583.350398,2.289520214,0.999205433
4514,COCCOCCOCCOC,nan,nan,nan,[0.371730833],[178.1205091],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],5.890283679,-1649.05375,2.415455546,0.998861878
4520,COCCOCCOCCOC,nan,nan,nan,[0.360576403],[178.1205091],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],6.180312091,-1638.242175,2.273673537,0.9961232
4526,COCCOCCOCCOC,nan,nan,nan,[0.350459786],[178.1205091],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],6.45932151,-1929.226867,3.149018464,0.998484206
4532,COCCOCCOCCOC,nan,nan,nan,[0.341351377],[178.1205091],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],6.724673117,-1976.931121,3.161103819,0.997448715
4538,COCCOCCOCCOCCOC,nan,nan,nan,[0.436368968],[222.1467238],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.501529358,-1734.115893,2.959973782,0.997680541
4544,COCCOCCOCCOCCOC,nan,nan,nan,[0.424599263],[222.1467238],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.722916061,-1873.123416,3.322480588,0.996359416
4550,COCCOCCOCCOCCOC,nan,nan,nan,[0.412901019],[222.1467238],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],4.955465092,-2015.345585,3.719352288,0.996889664
4556,COCCOCCOCCOCCOC,nan,nan,nan,[0.402239849],[222.1467238],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],5.179178941,-2088.237307,3.838627561,0.996883674
4562,COCCOCCOCCOCCOC,nan,nan,nan,[0.392599093],[222.1467238],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],5.39194177,-2183.914857,4.054334899,0.998452812
4627,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,nan,nan,nan,[0.905349602],[324.1310291],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.544442131,-2328.645176,4.668014512,0.989887391
4636,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,COCCOCCOCCOC,nan,nan,"[0.609120374, 0.330793377]","[324.1310291, 178.1205091]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.33291448,-1494.337366,2.631101036,0.991914178
4645,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,COCCOCCOCCOC,nan,nan,"[0.770120372, 0.149366863]","[324.1310291, 178.1205091]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.45599978,-1829.023413,3.435207499,0.990915137
4654,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,COCCOCCOCCOCCOC,nan,nan,"[0.60650065, 0.330092322]","[324.1310291, 222.1467238]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.352559238,-1555.20458,2.645708149,0.991657552
4663,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,COCCOCCOCCOCCOC,nan,nan,"[0.742700502, 0.179653363]","[324.1310291, 222.1467238]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.438397302,-1867.702689,3.712125097,0.984060469
4672,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,COCCOCCOCCOCCOC,nan,nan,"[0.815998982, 0.098691842]","[324.1310291, 222.1467238]",N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.485698789,-2191.365913,4.376207714,0.988999888
4681,C[N+]1(COC)CCCC1.O=S([N-]S(=O)(F)=O)(F)=O,nan,nan,nan,[0.911455034],[310.0468701],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.338569379,-1282.093216,1.648391049,0.978977351
4697,C[N+]1(CCC)CCCC1.O=S([N-]S(=O)(F)=O)(F)=O,nan,nan,nan,[0.910936819],[308.0676055],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.340744611,-1398.803374,1.883173487,0.976711481
4713,C[N+]1(CCCC1)CCCC.O=S([N-]S(=O)(F)=O)(F)=O,[Cu]OCC[Au],nan,nan,"[0.555555556, 0.355555556]","[322.0832556, 1000000.0]",[Li+].[O-][Cl+3]([O-])([O-])[O-],0.920694773,-1168.407838,1.419064001,0.993691999
4721,CC1COC(=O)O1,nan,nan,nan,[0.942],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.320643682,-1008.101115,0.332795294,0.998362958
4729,CC1COC(=O)O1,nan,nan,nan,[0.962],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.205709392,-968.6242925,0.008862564,0.996786262
4737,CC1COC(=O)O1,nan,nan,nan,[0.981],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.100862607,-867.584581,-0.444046087,0.997692836
4745,CC1COC(=O)O1,nan,nan,nan,[0.99],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.052602986,-853.9980941,-0.576205779,0.998957578
4753,CC1COC(=O)O1,nan,nan,nan,[0.996],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.02091444,-746.2832877,-1.184286163,0.999067288
4761,CC1COC(=O)O1,nan,nan,nan,[0.998],[102.0316941],N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],0.010436264,-754.0486379,-1.22548155,0.996262558
